child,parent,child_descriptor,parent_descriptor
R-HSA-2978092,R-HSA-1643685,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Disease
R-HSA-2979096,R-HSA-162582,NOTCH2 Activation and Transmission of Signal to the Nucleus,Signal Transduction
R-HSA-2980766,R-HSA-1640170,Nuclear Envelope Breakdown,Cell Cycle
R-HSA-2980767,R-HSA-1640170,"Activation of NIMA Kinases NEK9, NEK6, NEK7",Cell Cycle
R-HSA-2995383,R-HSA-1640170,Initiation of Nuclear Envelope (NE) Reformation,Cell Cycle
R-HSA-3000157,R-HSA-1474244,Laminin interactions,Extracellular matrix organization
R-HSA-3000170,R-HSA-1474244,Syndecan interactions,Extracellular matrix organization
R-HSA-3000171,R-HSA-1474244,Non-integrin membrane-ECM interactions,Extracellular matrix organization
R-HSA-3000178,R-HSA-1474244,ECM proteoglycans,Extracellular matrix organization
R-HSA-3000471,R-HSA-5653656,Scavenging by Class B Receptors,Vesicle-mediated transport
R-HSA-3000480,R-HSA-5653656,Scavenging by Class A Receptors,Vesicle-mediated transport
R-HSA-3000484,R-HSA-5653656,Scavenging by Class F Receptors,Vesicle-mediated transport
R-HSA-3000497,R-HSA-5653656,Scavenging by Class H Receptors,Vesicle-mediated transport
R-HSA-3065676,R-HSA-392499,SUMO is conjugated to E1 (UBA2:SAE1),Metabolism of proteins
R-HSA-3065678,R-HSA-392499,"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",Metabolism of proteins
R-HSA-3065679,R-HSA-392499,SUMO is proteolytically processed,Metabolism of proteins
R-HSA-3108214,R-HSA-392499,SUMOylation of DNA damage response and repair proteins,Metabolism of proteins
R-HSA-3108232,R-HSA-392499,SUMO E3 ligases SUMOylate target proteins,Metabolism of proteins
R-HSA-3134963,R-HSA-168256,DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,Immune System
R-HSA-3134973,R-HSA-168256,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,Immune System
R-HSA-3134975,R-HSA-168256,Regulation of innate immune responses to cytosolic DNA,Immune System
R-HSA-3214815,R-HSA-4839726,HDACs deacetylate histones,Chromatin organization
R-HSA-3214841,R-HSA-4839726,PKMTs methylate histone lysines,Chromatin organization
R-HSA-3214842,R-HSA-4839726,HDMs demethylate histones,Chromatin organization
R-HSA-3214847,R-HSA-4839726,HATs acetylate histones,Chromatin organization
R-HSA-3214858,R-HSA-4839726,RMTs methylate histone arginines,Chromatin organization
R-HSA-3229133,R-HSA-1643685,Glycogen storage disease type Ib (SLC37A4),Disease
R-HSA-3232118,R-HSA-392499,SUMOylation of transcription factors,Metabolism of proteins
R-HSA-3232142,R-HSA-392499,SUMOylation of ubiquitinylation proteins,Metabolism of proteins
R-HSA-3238698,R-HSA-162582,WNT ligand biogenesis and trafficking,Signal Transduction
R-HSA-3247509,R-HSA-4839726,Chromatin modifying enzymes,Chromatin organization
R-HSA-3248023,R-HSA-168256,Regulation by TREX1,Immune System
R-HSA-3249367,R-HSA-168256,STAT6-mediated induction of chemokines,Immune System
R-HSA-3270619,R-HSA-168256,IRF3-mediated induction of type I IFN,Immune System
R-HSA-3274531,R-HSA-1643685,Glycogen storage disease type Ia (G6PC),Disease
R-HSA-3282872,R-HSA-1643685,Severe congenital neutropenia type 4 (G6PC3),Disease
R-HSA-3295583,R-HSA-382551,TRP channels,Transport of small molecules
R-HSA-3296197,R-HSA-162582,Hydroxycarboxylic acid-binding receptors,Signal Transduction
R-HSA-3299685,R-HSA-8953897,Detoxification of Reactive Oxygen Species,Cellular responses to external stimuli
R-HSA-3301854,R-HSA-1640170,Nuclear Pore Complex (NPC) Disassembly,Cell Cycle
R-HSA-3304356,R-HSA-1643685,SMAD2/3 Phosphorylation Motif Mutants in Cancer,Disease
R-HSA-3311021,R-HSA-1643685,SMAD4 MH2 Domain Mutants in Cancer,Disease
R-HSA-3315487,R-HSA-1643685,SMAD2/3 MH2 Domain Mutants in Cancer,Disease
R-HSA-3322077,R-HSA-1430728,Glycogen synthesis,Metabolism
R-HSA-3359454,R-HSA-1643685,Defective TCN2 causes hereditary megaloblastic anemia,Disease
R-HSA-3359457,R-HSA-1643685,Defective GIF causes intrinsic factor deficiency,Disease
R-HSA-3359458,R-HSA-1643685,Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF,Disease
R-HSA-3359462,R-HSA-1643685,Defective AMN causes hereditary megaloblastic anemia 1,Disease
R-HSA-3359463,R-HSA-1643685,Defective CUBN causes hereditary megaloblastic anemia 1,Disease
R-HSA-3359467,R-HSA-1643685,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,Disease
R-HSA-3359469,R-HSA-1643685,Defective MTR causes methylmalonic aciduria and homocystinuria type cblG,Disease
R-HSA-3359471,R-HSA-1643685,Defective MMAB causes methylmalonic aciduria type cblB,Disease
R-HSA-3359473,R-HSA-1643685,Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD,Disease
R-HSA-3359474,R-HSA-1643685,Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC,Disease
R-HSA-3359475,R-HSA-1643685,Defective MMAA causes methylmalonic aciduria type cblA,Disease
R-HSA-3359478,R-HSA-1643685,Defective MUT causes methylmalonic aciduria mut type,Disease
R-HSA-3359485,R-HSA-1643685,Defective CD320 causes methylmalonic aciduria,Disease
R-HSA-3371378,R-HSA-5357801,Regulation by c-FLIP,Programmed Cell Death
R-HSA-3371453,R-HSA-8953897,Regulation of HSF1-mediated heat shock response,Cellular responses to external stimuli
R-HSA-3371497,R-HSA-8953897,HSP90 chaperone cycle for steroid hormone receptors (SHR),Cellular responses to external stimuli
R-HSA-3371511,R-HSA-8953897,HSF1 activation,Cellular responses to external stimuli
R-HSA-3371568,R-HSA-8953897,Attenuation phase,Cellular responses to external stimuli
R-HSA-3371571,R-HSA-8953897,HSF1-dependent transactivation,Cellular responses to external stimuli
R-HSA-3371598,R-HSA-1643685,Defective BTD causes biotidinase deficiency,Disease
R-HSA-3371599,R-HSA-1643685,Defective HLCS causes multiple carboxylase deficiency,Disease
R-HSA-349425,R-HSA-1640170,Autodegradation of the E3 ubiquitin ligase COP1,Cell Cycle
R-HSA-350054,R-HSA-74160,Notch-HLH transcription pathway,Gene expression (Transcription)
R-HSA-350562,R-HSA-1430728,Regulation of ornithine decarboxylase (ODC),Metabolism
R-HSA-350864,R-HSA-1430728,Regulation of thyroid hormone activity,Metabolism
R-HSA-351143,R-HSA-1430728,Agmatine biosynthesis,Metabolism
R-HSA-351200,R-HSA-1430728,Interconversion of polyamines,Metabolism
R-HSA-351202,R-HSA-1430728,Metabolism of polyamines,Metabolism
R-HSA-351906,R-HSA-5357801,Apoptotic cleavage of cell adhesion  proteins,Programmed Cell Death
R-HSA-352230,R-HSA-382551,Amino acid transport across the plasma membrane,Transport of small molecules
R-HSA-352238,R-HSA-5357801,Breakdown of the nuclear lamina,Programmed Cell Death
R-HSA-354192,R-HSA-109582,Integrin signaling,Hemostasis
R-HSA-354192,R-HSA-162582,Integrin signaling,Signal Transduction
R-HSA-354194,R-HSA-109582,GRB2:SOS provides linkage to MAPK signaling for Integrins ,Hemostasis
R-HSA-354194,R-HSA-162582,GRB2:SOS provides linkage to MAPK signaling for Integrins ,Signal Transduction
R-HSA-3560783,R-HSA-1643685,"Defective B4GALT7 causes EDS, progeroid type",Disease
R-HSA-3560792,R-HSA-1643685,Defective SLC26A2 causes chondrodysplasias,Disease
R-HSA-3560796,R-HSA-1643685,Defective PAPSS2 causes SEMD-PA,Disease
R-HSA-3560801,R-HSA-1643685,Defective B3GAT3 causes JDSSDHD,Disease
R-HSA-3595172,R-HSA-1643685,Defective CHST3 causes SEDCJD,Disease
R-HSA-3595174,R-HSA-1643685,"Defective CHST14 causes EDS, musculocontractural type",Disease
R-HSA-3595177,R-HSA-1643685,Defective CHSY1 causes TPBS,Disease
R-HSA-3642279,R-HSA-1643685,TGFBR2 MSI Frameshift Mutants in Cancer,Disease
R-HSA-3645790,R-HSA-1643685,TGFBR2 Kinase Domain Mutants in Cancer,Disease
R-HSA-3656225,R-HSA-1643685,Defective CHST6 causes MCDC1,Disease
R-HSA-3656234,R-HSA-1643685,Defective HEXA causes GM2G1,Disease
R-HSA-3656237,R-HSA-1643685,Defective EXT2 causes exostoses 2,Disease
R-HSA-3656243,R-HSA-1643685,Defective ST3GAL3 causes MCT12 and EIEE15,Disease
R-HSA-3656244,R-HSA-1643685,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),Disease
R-HSA-3656248,R-HSA-1643685,Defective HEXB causes GM2G2,Disease
R-HSA-3656253,R-HSA-1643685,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",Disease
R-HSA-3656532,R-HSA-1643685,TGFBR1 KD Mutants in Cancer,Disease
R-HSA-3656535,R-HSA-1643685,TGFBR1 LBD Mutants in Cancer,Disease
R-HSA-372708,R-HSA-109582,p130Cas linkage to MAPK signaling for integrins,Hemostasis
R-HSA-372708,R-HSA-162582,p130Cas linkage to MAPK signaling for integrins,Signal Transduction
R-HSA-373076,R-HSA-162582,Class A/1 (Rhodopsin-like receptors),Signal Transduction
R-HSA-373080,R-HSA-162582,Class B/2 (Secretin family receptors),Signal Transduction
R-HSA-373752,R-HSA-1266738,Netrin-1 signaling,Developmental Biology
R-HSA-373753,R-HSA-1500931,Nephrin family interactions,Cell-Cell communication
R-HSA-373756,R-HSA-1500931,SDK interactions,Cell-Cell communication
R-HSA-373760,R-HSA-1266738,L1CAM interactions,Developmental Biology
R-HSA-375165,R-HSA-1266738,NCAM signaling for neurite out-growth,Developmental Biology
R-HSA-375276,R-HSA-162582,Peptide ligand-binding receptors,Signal Transduction
R-HSA-375280,R-HSA-162582,Amine ligand-binding receptors,Signal Transduction
R-HSA-375281,R-HSA-162582,Hormone ligand-binding receptors,Signal Transduction
R-HSA-376172,R-HSA-1266738,DSCAM interactions,Developmental Biology
R-HSA-376176,R-HSA-1266738,Signaling by ROBO receptors,Developmental Biology
R-HSA-3769402,R-HSA-162582,Deactivation of the beta-catenin transactivating complex,Signal Transduction
R-HSA-3772470,R-HSA-162582,Negative regulation of TCF-dependent signaling by WNT ligand antagonists,Signal Transduction
R-HSA-3785653,R-HSA-1643685,Myoclonic epilepsy of Lafora,Disease
R-HSA-379397,R-HSA-112316,Enzymatic degradation of dopamine by COMT,Neuronal System
R-HSA-379398,R-HSA-112316,Enzymatic degradation of Dopamine by monoamine oxidase,Neuronal System
R-HSA-379401,R-HSA-112316,Dopamine clearance from the synaptic cleft,Neuronal System
R-HSA-379716,R-HSA-392499,Cytosolic tRNA aminoacylation,Metabolism of proteins
R-HSA-379726,R-HSA-392499,Mitochondrial tRNA aminoacylation,Metabolism of proteins
R-HSA-380095,R-HSA-162582,Tachykinin receptors bind tachykinins,Signal Transduction
R-HSA-380108,R-HSA-162582,Chemokine receptors bind chemokines,Signal Transduction
R-HSA-380259,R-HSA-1640170,Loss of Nlp from mitotic centrosomes,Cell Cycle
R-HSA-380270,R-HSA-1640170,Recruitment of mitotic centrosome proteins and complexes,Cell Cycle
R-HSA-380284,R-HSA-1640170,Loss of proteins required for interphase microtubule organization from the centrosome,Cell Cycle
R-HSA-380320,R-HSA-1640170,Recruitment of NuMA to mitotic centrosomes,Cell Cycle
R-HSA-380612,R-HSA-112316,Metabolism of serotonin,Neuronal System
R-HSA-380615,R-HSA-112316,Serotonin clearance from the synaptic cleft,Neuronal System
R-HSA-380972,R-HSA-162582,Energy dependent regulation of mTOR by LKB1-AMPK,Signal Transduction
R-HSA-380994,R-HSA-392499,ATF4 activates genes in response to endoplasmic reticulum  stress,Metabolism of proteins
R-HSA-381033,R-HSA-392499,ATF6 (ATF6-alpha) activates chaperones,Metabolism of proteins
R-HSA-381038,R-HSA-392499,XBP1(S) activates chaperone genes,Metabolism of proteins
R-HSA-381042,R-HSA-392499,PERK regulates gene expression,Metabolism of proteins
R-HSA-381070,R-HSA-392499,IRE1alpha activates chaperones,Metabolism of proteins
R-HSA-381183,R-HSA-392499,ATF6 (ATF6-alpha) activates chaperone genes,Metabolism of proteins
R-HSA-381340,R-HSA-1266738,Transcriptional regulation of white adipocyte differentiation,Developmental Biology
R-HSA-381426,R-HSA-392499,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Metabolism of proteins
R-HSA-3814836,R-HSA-1643685,Glycogen storage disease type XV (GYG1),Disease
R-HSA-381676,R-HSA-1430728,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,Metabolism
R-HSA-381753,R-HSA-162582,Olfactory Signaling Pathway,Signal Transduction
R-HSA-381771,R-HSA-392499,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",Metabolism of proteins
R-HSA-382556,R-HSA-382551,ABC-family proteins mediated transport,Transport of small molecules
R-HSA-3828062,R-HSA-1643685,Glycogen storage disease type 0 (muscle GYS1),Disease
R-HSA-383280,R-HSA-74160,Nuclear Receptor transcription pathway,Gene expression (Transcription)
R-HSA-3858516,R-HSA-1643685,Glycogen storage disease type 0 (liver GYS2),Disease
R-HSA-3878781,R-HSA-1643685,Glycogen storage disease type IV (GBE1),Disease
R-HSA-388479,R-HSA-162582,Vasopressin-like receptors,Signal Transduction
R-HSA-388841,R-HSA-168256,Costimulation by the CD28 family,Immune System
R-HSA-388844,R-HSA-112316,Receptor-type tyrosine-protein phosphatases,Neuronal System
R-HSA-389356,R-HSA-168256,CD28 co-stimulation,Immune System
R-HSA-389357,R-HSA-168256,CD28 dependent PI3K/Akt signaling,Immune System
R-HSA-389359,R-HSA-168256,CD28 dependent Vav1 pathway,Immune System
R-HSA-389397,R-HSA-162582,Orexin and neuropeptides FF and QRFP bind to their respective receptors,Signal Transduction
R-HSA-389513,R-HSA-168256,CTLA4 inhibitory signaling,Immune System
R-HSA-389542,R-HSA-1430728,NADPH regeneration,Metabolism
R-HSA-389599,R-HSA-1430728,Alpha-oxidation of phytanate,Metabolism
R-HSA-389661,R-HSA-1430728,Glyoxylate metabolism and glycine degradation,Metabolism
R-HSA-389887,R-HSA-1430728,Beta-oxidation of pristanoyl-CoA,Metabolism
R-HSA-3899300,R-HSA-392499,SUMOylation of transcription cofactors,Metabolism of proteins
R-HSA-389948,R-HSA-168256,PD-1 signaling,Immune System
R-HSA-389957,R-HSA-392499,Prefoldin mediated transfer of substrate  to CCT/TriC,Metabolism of proteins
R-HSA-389960,R-HSA-392499,Formation of tubulin folding intermediates by CCT/TriC,Metabolism of proteins
R-HSA-389977,R-HSA-392499,Post-chaperonin tubulin folding pathway,Metabolism of proteins
R-HSA-390247,R-HSA-1430728,Beta-oxidation of very long chain fatty acids,Metabolism
R-HSA-390450,R-HSA-392499,Folding of actin by CCT/TriC,Metabolism of proteins
R-HSA-390471,R-HSA-392499,Association of TriC/CCT with target proteins during biosynthesis,Metabolism of proteins
R-HSA-390522,R-HSA-397014,Striated Muscle Contraction,Muscle contraction
R-HSA-390648,R-HSA-162582,Muscarinic acetylcholine receptors,Signal Transduction
R-HSA-390650,R-HSA-162582,Histamine receptors,Signal Transduction
R-HSA-390651,R-HSA-162582,Dopamine receptors,Signal Transduction
R-HSA-390666,R-HSA-162582,Serotonin receptors,Signal Transduction
R-HSA-390696,R-HSA-162582,Adrenoceptors,Signal Transduction
R-HSA-390918,R-HSA-1430728,Peroxisomal lipid metabolism,Metabolism
R-HSA-391160,R-HSA-1500931,Signal regulatory protein family interactions,Cell-Cell communication
R-HSA-391903,R-HSA-162582,Eicosanoid ligand-binding receptors,Signal Transduction
R-HSA-391906,R-HSA-162582,Leukotriene receptors,Signal Transduction
R-HSA-391908,R-HSA-162582,Prostanoid ligand receptors,Signal Transduction
R-HSA-392023,R-HSA-109582,Adrenaline signalling through Alpha-2 adrenergic receptor,Hemostasis
R-HSA-392154,R-HSA-109582,Nitric oxide stimulates guanylate cyclase,Hemostasis
R-HSA-392170,R-HSA-109582,ADP signalling through P2Y purinoceptor 12,Hemostasis
R-HSA-392451,R-HSA-162582,G beta:gamma signalling through PI3Kgamma,Signal Transduction
R-HSA-392517,R-HSA-168256,Rap1 signalling,Immune System
R-HSA-392851,R-HSA-109582,Prostacyclin signalling through prostacyclin receptor,Hemostasis
R-HSA-3928662,R-HSA-1266738,EPHB-mediated forward signaling,Developmental Biology
R-HSA-3928663,R-HSA-1266738,EPHA-mediated growth cone collapse,Developmental Biology
R-HSA-3928664,R-HSA-1266738,Ephrin signaling,Developmental Biology
R-HSA-3928665,R-HSA-1266738,EPH-ephrin mediated repulsion of cells,Developmental Biology
R-HSA-399710,R-HSA-112316,Activation of AMPA receptors,Neuronal System
R-HSA-399719,R-HSA-112316,Trafficking of AMPA receptors,Neuronal System
R-HSA-399954,R-HSA-1266738,Sema3A PAK dependent Axon repulsion,Developmental Biology
R-HSA-399955,R-HSA-1266738,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,Developmental Biology
R-HSA-399956,R-HSA-1266738,CRMPs in Sema3A signaling,Developmental Biology
R-HSA-399997,R-HSA-1430728,Acetylcholine regulates insulin secretion,Metabolism
R-HSA-400042,R-HSA-1430728,"Adrenaline,noradrenaline inhibits insulin secretion",Metabolism
R-HSA-400206,R-HSA-1430728,Regulation of lipid metabolism by PPARalpha,Metabolism
R-HSA-400253,R-HSA-400253,Circadian Clock,Circadian Clock
R-HSA-400511,R-HSA-392499,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",Metabolism of proteins
R-HSA-4043911,R-HSA-1643685,Defective PMM2 causes PMM2-CDG (CDG-1a),Disease
R-HSA-4043916,R-HSA-1643685,Defective MPI causes MPI-CDG (CDG-1b),Disease
R-HSA-4085001,R-HSA-392499,Sialic acid metabolism,Metabolism of proteins
R-HSA-4085011,R-HSA-1643685,"Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2",Disease
R-HSA-4085023,R-HSA-1643685,Defective GFPT1 causes CMSTA1,Disease
R-HSA-4085377,R-HSA-392499,SUMOylation of SUMOylation proteins,Metabolism of proteins
R-HSA-4086398,R-HSA-162582,Ca2+ pathway,Signal Transduction
R-HSA-4086400,R-HSA-162582,PCP/CE pathway,Signal Transduction
R-HSA-4090294,R-HSA-392499,SUMOylation of intracellular receptors,Metabolism of proteins
R-HSA-416476,R-HSA-162582,G alpha (q) signalling events,Signal Transduction
R-HSA-416482,R-HSA-162582,G alpha (12/13) signalling events,Signal Transduction
R-HSA-416550,R-HSA-1266738,Sema4D mediated inhibition of cell attachment and migration,Developmental Biology
R-HSA-416572,R-HSA-1266738,Sema4D induced cell migration and growth-cone collapse,Developmental Biology
R-HSA-416700,R-HSA-1266738,Other semaphorin interactions,Developmental Biology
R-HSA-416993,R-HSA-112316,Trafficking of GluR2-containing AMPA receptors,Neuronal System
R-HSA-417957,R-HSA-162582,P2Y receptors,Signal Transduction
R-HSA-417973,R-HSA-162582,Adenosine P1 receptors,Signal Transduction
R-HSA-418217,R-HSA-162582,G beta:gamma signalling through PLC beta,Signal Transduction
R-HSA-418346,R-HSA-109582,Platelet homeostasis,Hemostasis
R-HSA-418359,R-HSA-109582,Reduction of cytosolic Ca++ levels,Hemostasis
R-HSA-418457,R-HSA-109582,cGMP effects,Hemostasis
R-HSA-418555,R-HSA-162582,G alpha (s) signalling events,Signal Transduction
R-HSA-418592,R-HSA-109582,ADP signalling through P2Y purinoceptor 1,Hemostasis
R-HSA-418594,R-HSA-162582,G alpha (i) signalling events,Signal Transduction
R-HSA-418597,R-HSA-162582,G alpha (z) signalling events,Signal Transduction
R-HSA-418885,R-HSA-1266738,DCC mediated attractive signaling,Developmental Biology
R-HSA-418886,R-HSA-1266738,Netrin mediated repulsion signals,Developmental Biology
R-HSA-418889,R-HSA-5357801,Caspase activation via Dependence Receptors in the absence of ligand,Programmed Cell Death
R-HSA-418890,R-HSA-1266738,Role of second messengers in netrin-1 signaling,Developmental Biology
R-HSA-418990,R-HSA-1500931,Adherens junctions interactions,Cell-Cell communication
R-HSA-419037,R-HSA-1266738,NCAM1 interactions,Developmental Biology
R-HSA-419408,R-HSA-162582,Lysosphingolipid and LPA receptors,Signal Transduction
R-HSA-419771,R-HSA-162582,Opsins,Signal Transduction
R-HSA-419812,R-HSA-162582,Calcitonin-like ligand receptors,Signal Transduction
R-HSA-420029,R-HSA-1500931,Tight junction interactions,Cell-Cell communication
R-HSA-420092,R-HSA-162582,Glucagon-type ligand receptors,Signal Transduction
R-HSA-420499,R-HSA-162582,Class C/3 (Metabotropic glutamate/pheromone receptors),Signal Transduction
R-HSA-420597,R-HSA-1500931,Nectin/Necl  trans heterodimerization,Cell-Cell communication
R-HSA-422085,R-HSA-392499,"Synthesis, secretion, and deacylation of Ghrelin",Metabolism of proteins
R-HSA-422356,R-HSA-1430728,Regulation of insulin secretion,Metabolism
R-HSA-425366,R-HSA-382551,"Transport of bile salts and organic acids, metal ions and amine compounds",Transport of small molecules
R-HSA-425381,R-HSA-382551,Bicarbonate transporters,Transport of small molecules
R-HSA-425393,R-HSA-382551,Transport of inorganic cations/anions and amino acids/oligopeptides,Transport of small molecules
R-HSA-425397,R-HSA-382551,"Transport of vitamins, nucleosides, and related molecules",Transport of small molecules
R-HSA-425410,R-HSA-382551,Metal ion SLC transporters,Transport of small molecules
R-HSA-425561,R-HSA-382551,Sodium/Calcium exchangers,Transport of small molecules
R-HSA-425986,R-HSA-382551,Sodium/Proton exchangers,Transport of small molecules
R-HSA-426048,R-HSA-109582,Arachidonate production from DAG,Hemostasis
R-HSA-426048,R-HSA-162582,Arachidonate production from DAG,Signal Transduction
R-HSA-426117,R-HSA-382551,Cation-coupled Chloride cotransporters,Transport of small molecules
R-HSA-426486,R-HSA-74160,Small interfering RNA (siRNA) biogenesis,Gene expression (Transcription)
R-HSA-426496,R-HSA-74160,Post-transcriptional silencing by small RNAs,Gene expression (Transcription)
R-HSA-427359,R-HSA-74160,SIRT1 negatively regulates rRNA expression,Gene expression (Transcription)
R-HSA-427389,R-HSA-74160,ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,Gene expression (Transcription)
R-HSA-427413,R-HSA-74160,NoRC negatively regulates rRNA expression,Gene expression (Transcription)
R-HSA-427589,R-HSA-382551,Type II Na+/Pi cotransporters,Transport of small molecules
R-HSA-427601,R-HSA-382551,Multifunctional anion exchangers,Transport of small molecules
R-HSA-427652,R-HSA-382551,Sodium-coupled phosphate cotransporters,Transport of small molecules
R-HSA-427975,R-HSA-382551,Proton/oligopeptide cotransporters,Transport of small molecules
R-HSA-428359,R-HSA-8953854,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,Metabolism of RNA
R-HSA-428540,R-HSA-1266738,Activation of RAC1,Developmental Biology
R-HSA-428542,R-HSA-1266738,Regulation of commissural axon pathfinding by SLIT and ROBO,Developmental Biology
R-HSA-428543,R-HSA-1266738,Inactivation of CDC42 and RAC1,Developmental Biology
R-HSA-428559,R-HSA-382551,Proton-coupled neutral amino acid transporters,Transport of small molecules
R-HSA-428643,R-HSA-382551,Organic anion transporters,Transport of small molecules
R-HSA-428890,R-HSA-1266738,Role of ABL in ROBO-SLIT signaling,Developmental Biology
R-HSA-428930,R-HSA-109582,Thromboxane signalling through TP receptor,Hemostasis
R-HSA-429593,R-HSA-382551,Inositol transporters,Transport of small molecules
R-HSA-429947,R-HSA-8953854,Deadenylation of mRNA,Metabolism of RNA
R-HSA-429958,R-HSA-8953854,mRNA decay by 3' to 5' exoribonuclease,Metabolism of RNA
R-HSA-430039,R-HSA-8953854,mRNA decay by 5' to 3' exoribonuclease,Metabolism of RNA
R-HSA-430116,R-HSA-109582,GP1b-IX-V activation signalling,Hemostasis
R-HSA-432030,R-HSA-382551,Transport of glycerol from adipocytes to the liver by Aquaporins,Transport of small molecules
R-HSA-432040,R-HSA-382551,Vasopressin regulates renal water homeostasis via Aquaporins,Transport of small molecules
R-HSA-432047,R-HSA-382551,Passive transport by Aquaporins,Transport of small molecules
R-HSA-432142,R-HSA-109582,Platelet sensitization by LDL,Hemostasis
R-HSA-432720,R-HSA-5653656,Lysosome Vesicle Biogenesis,Vesicle-mediated transport
R-HSA-432722,R-HSA-5653656,Golgi Associated Vesicle Biogenesis,Vesicle-mediated transport
R-HSA-433137,R-HSA-382551,"Sodium-coupled sulphate, di- and tri-carboxylate transporters",Transport of small molecules
R-HSA-433692,R-HSA-382551,Proton-coupled monocarboxylate transport,Transport of small molecules
R-HSA-4341670,R-HSA-1643685,Defective NEU1 causes sialidosis,Disease
R-HSA-434313,R-HSA-1430728,Intracellular metabolism of fatty acids regulates insulin secretion,Metabolism
R-HSA-434316,R-HSA-1430728,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,Metabolism
R-HSA-435368,R-HSA-382551,Zinc efflux and compartmentalization by the SLC30 family,Transport of small molecules
R-HSA-437239,R-HSA-1266738,Recycling pathway of L1,Developmental Biology
R-HSA-438066,R-HSA-112316,"Unblocking of NMDA receptors, glutamate binding and activation",Neuronal System
R-HSA-4411364,R-HSA-162582,Binding of TCF/LEF:CTNNB1 to target gene promoters,Signal Transduction
R-HSA-4419969,R-HSA-1640170,Depolymerisation of the Nuclear Lamina,Cell Cycle
R-HSA-4420097,R-HSA-162582,VEGFA-VEGFR2 Pathway,Signal Transduction
R-HSA-4420332,R-HSA-1643685,Defective B3GALT6 causes EDSP2 and SEMDJL1,Disease
R-HSA-442380,R-HSA-382551,Zinc influx into cells by the SLC39 gene family,Transport of small molecules
R-HSA-442660,R-HSA-382551,Na+/Cl- dependent neurotransmitter transporters,Transport of small molecules
R-HSA-442720,R-HSA-112316,CREB1 phosphorylation through the activation of Adenylate Cyclase,Neuronal System
R-HSA-442729,R-HSA-112316,CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,Neuronal System
R-HSA-442742,R-HSA-112316,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,Neuronal System
R-HSA-442982,R-HSA-112316,Ras activation upon Ca2+ influx through NMDA receptor,Neuronal System
R-HSA-444209,R-HSA-162582,Free fatty acid receptors,Signal Transduction
R-HSA-444257,R-HSA-112316,RSK activation,Neuronal System
R-HSA-444411,R-HSA-382551,Rhesus glycoproteins mediate ammonium transport.,Transport of small molecules
R-HSA-444473,R-HSA-162582,Formyl peptide receptors bind formyl peptides and many other ligands,Signal Transduction
R-HSA-444821,R-HSA-162582,Relaxin receptors,Signal Transduction
R-HSA-445095,R-HSA-1266738,Interaction between L1 and Ankyrins,Developmental Biology
R-HSA-445144,R-HSA-1266738,Signal transduction by L1,Developmental Biology
R-HSA-445355,R-HSA-397014,Smooth Muscle Contraction,Muscle contraction
R-HSA-445989,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Immune System
R-HSA-446107,R-HSA-1500931,Type I hemidesmosome assembly,Cell-Cell communication
R-HSA-446193,R-HSA-392499,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",Metabolism of proteins
R-HSA-446199,R-HSA-392499,Synthesis of Dolichyl-phosphate,Metabolism of proteins
R-HSA-446203,R-HSA-392499,Asparagine N-linked glycosylation,Metabolism of proteins
R-HSA-446205,R-HSA-392499,Synthesis of GDP-mannose,Metabolism of proteins
R-HSA-446210,R-HSA-392499,Synthesis of UDP-N-acetyl-glucosamine,Metabolism of proteins
R-HSA-446343,R-HSA-1500931,Localization of the PINCH-ILK-PARVIN complex to focal adhesions,Cell-Cell communication
R-HSA-446353,R-HSA-1500931,Cell-extracellular matrix interactions,Cell-Cell communication
R-HSA-446388,R-HSA-1500931,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,Cell-Cell communication
